title,link,description,category,pubdate
Questions and Answers –New rules to fight child sexual abuse,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2977,"European Commission Questions and answers Brussels, 13 May 2022 Why are new rules needed?
The internet has proven to be a great connector, including for children and especially throughout the pandemic. However, children may ...","['HOMEAFF', 'MIGR']",2022-05-10 22:00:00+00:00
Questions and Answers on the Commission's proposal to tackle the debt-equity bias in taxation (DEBRA),https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2885,"European Commission Questions and answers Brussels, 11 May 2022 What is the debt-equity bias?
Most countries, including in the European Union, treat debt more favourably than equity from a tax perspective. They do so by allo...","['TAXCUAA', 'FINSTAB', 'PR-ECOM']",2022-05-10 22:00:00+00:00
New European strategy for a Better Internet for Kids – Questions and Answers,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2826,"European Commission Questions and answers Brussels, 11 May 2022 1.   Why are you coming forward with a new European strategy for a Better Internet for Kids (BIK+)?
Since the adoption of the first “European Strategy for a Bet...","['DIGAG', 'YOUTH', 'PR-DIGITAL']",2022-05-10 22:00:00+00:00
Questions and Answers on Croatia's disbursement request under NextGenerationEU,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2811,"European Commission Questions and answers Brussels, 10 May 2022 How did the Commission assess Croatia's first payment request? 
On 15 March 2022, Croatia submitted to the Commission a request for the disbursement of €700 mil...","['ECOMONAFF', 'PR-ECOM', 'NGEU']",2022-05-09 22:00:00+00:00
Questions and Answers – Conference on the Future of Europe,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2863,"European Commission Questions and answers Brussels, 09 May 2022 What are the results of the Conference on the Future of Europe?
The results of the Conference are presented in the report on the outcome of the Conference, hand...",['COFE'],2022-05-08 22:00:00+00:00
Questions and answers - EU Health: European Health Data Space (EHDS),https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2712,"European Commission Questions and answers Brussels, 03 May 2022 What is the EHDS proposal about?","['HEALTHPOL', 'COVID-19']",2022-05-02 22:00:00+00:00
Questions and Answers on the renewed Strategy for the outermost regions,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2745,"European Commission Questions and answers Brussels, 03 May 2022 What are the outermost regions?",['REGIONAL'],2022-05-02 22:00:00+00:00
Questions & Answers: Selection of 100 Cities for the EU Mission “Climate-Neutral and Smart Cities”,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2592,"European Commission Questions and answers Brussels, 28 Apr 2022 


 What is the Mission for Climate-Neutral and Smart Cities?



The Mission for Climate-Neutral and Smart Cities “Cities Mission” is one of five EU Missions, a...","['CLIMACTION', 'ENVIRO', 'RESINSC', 'TRANSPORT', 'PR-DIGITAL']",2022-04-27 22:00:00+00:00
Questions and Answers – Attracting skills and talent to the EU,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2655,"European Commission Questions and answers Brussels, 27 Apr 2022 Why is the Commission proposing a legal migration package?",['MIGR'],2022-04-26 22:00:00+00:00
Questions and Answers – Proposal for Visa exemption for nationals of Qatar and Kuwait,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2507,"European Commission Questions and answers Brussels, 27 Apr 2022 Why is the Commission proposing visa-free travel to the EU for Qatar and Kuwait nationals?","['HREXTRELS', 'HOMEAFF', 'MIGR']",2022-04-26 22:00:00+00:00
